index,raw_response
13508,"NO — This is a selective breeding/genetic inheritance study showing strain differences in conditioned reflex acquisition across generations, not a transgenerational study of an exposure or stressor-induced effect."
13509,NO — This is a longitudinal study of grandparents' depressive symptoms following loss of contact with grandchildren and does not use a transgenerational exposure design or examine effects of an exposure transmitted across generations.
13510,"NO — This paper reports somatic genome sequencing of a human mesothelioma tumor (and matched normal) focused on tumor mutations and rearrangements, with no transgenerational study design or assessment of inherited effects of exposures."
13511,"YES — Drosophila whole-organism study showing an epigenetic effect of the rad201 mutation on P-element activity that was maintained through at least two generations, indicating a transgenerational study design."
13512,NO — This is an implementation/evaluation study of metabolic monitoring in children treated with second-generation antipsychotics and does not involve a transgenerational or multigenerational study design or exposures/outcomes across generations.
13513,NO — This is a clinical study of treatment‑emergent mania/hypomania in bipolar patients receiving antidepressant monotherapy and does not involve a transgenerational study design or assess effects across generations.
13514,NO — This is a historical review of macroevolutionary host–parasite research and does not report transgenerational exposure studies or intergenerational health effects.
13515,NO — This is a single-patient case report of an implantable cardioverter defibrillator discharge due to electromagnetic interference and does not involve a transgenerational study design or intergenerational exposure effects.
13516,NO — This is a biomechanical study of implant stability using synthetic tibiae for high tibial osteotomy and does not involve a transgenerational study design or exposures affecting subsequent generations.
13517,NO — This is a cross-sectional/cohort study of infant dental caries and child-care/environmental risk factors (urban vs rural) and does not examine transgenerational transmission of exposures or outcomes.
13518,NO — This is a longitudinal study of adolescent friendships and behavioral outcomes within the same generation and does not employ a transgenerational study design or examine transmission of exposures/outcomes across generations.
13519,"NO — This is a genetic association study of MHC markers and offspring disease resistance (parents/grandparents were genotyped), not a transgenerational exposure study assessing effects of an exposure across generations."
13520,"NO — This is a materials/biotechnology paper describing development of a glucose nanobiosensor and contains no transgenerational study design, exposures, or intergenerational health outcomes."
13521,NO — This is a clinical review on treatment of type II diabetes in elderly patients (drug choices and glycemic targets) and does not describe a transgenerational study design or exposures affecting subsequent generations.
13522,"NO — This is a cross-sectional survey of college students relating reported family history of alcohol abuse to current drinking, not a transgenerational study design assessing exposure effects across generations."
13523,NO — This is a clinical comparison of mitral bioprostheses and structural valve deterioration with no transgenerational study design or investigation of exposures causing effects in subsequent generations.
13524,NO — This is a clinical review of thrombolytic agents for venous thrombosis and does not describe a transgenerational study design or exposures affecting subsequent generations.
13525,NO — This is a pharmacoeconomic review of antihistamine use and costs in patients with allergic rhinitis and contains no transgenerational study design or intergenerational exposure/outcome assessment.
13526,NO — This is a clinical survey of perioperative antibiotic use and costs in a hospital and does not describe a transgenerational study design or exposures affecting subsequent generations.
13527,"NO — This is a materials-science study about silicon-carbon photovoltaic materials and light absorption, with no transgenerational study design, exposures, or biological outcomes."
13528,NO — This is a molecular study of viral RNA localization within stages of the parasite Eimeria necatrix in fowl and does not describe a transgenerational study design or effects of exposures across generations.
13529,NO — This is a plant genetics study describing intragenic recombination creating resistance genes in maize and does not investigate transgenerational exposure effects or a transgenerational study design.
13530,"NO — This is a molecular microbiology study of the YneA protein in Bacillus subtilis focusing on cell-division mechanisms, not a transgenerational exposure study or investigation of inheritance across generations."
13531,"NO — This is a plant QTL/breeding study in tomato focused on genetic loci stability across generations and backgrounds, not a transgenerational exposure study in humans or animals and does not examine effects of exposures across generations."
13532,NO — This study reports intergenerational associations in birth size/height between mothers and children (heritability/parent–offspring correlations) and does not examine transgenerational effects of a specific exposure or stressor.
13533,"NO — This is an in vitro bacterial chemostat study of PAH degradation (Sphingomonas sp.) reporting adaptation over bacterial generations, not a transgenerational study in humans or animals."
13534,"NO — This paper reports fungal secretome analysis for biofuel enzyme discovery and does not describe a transgenerational study design, human/animal exposures, or inheritance of exposure effects."
13535,NO — This is a within-patient EEG study of levodopa effects in Parkinson’s patients with no transgenerational or cross-generational exposure or outcome assessment reported.
13536,NO — This is a clinical description/evaluation of microwave endometrial ablation for heavy menstrual bleeding and does not report a transgenerational study design or exposure effects across generations.
13537,"YES — This is a two-generation rat study in which isofloxythepin was administered to parental animals and outcomes were assessed in F0 and F1 offspring, representing a multigenerational/transgenerational study design."
13538,NO — This is a genetics hypothesis about autosomal suppression of fragile-X inheritance and does not report a transgenerational study of exposures or exposure-induced health effects.
13539,NO — This study characterizes genetically inherited tyrosinase-negative albinism across bred generations in cats and does not assess transgenerational effects arising from an exposure or stressor.
13540,"NO — This is a clinical case report describing familial (hereditary) pulmonary arteriovenous fistulas across generations without any exposure or transgenerational exposure study design, so it does not meet the inclusion criteria."
13541,"YES — Animal study where parental Daphnia magna were exposed to benzo(a)pyrene and B(a)P-induced DNA changes were observed in offspring, indicating transgenerational effects."
13542,"NO — This paper describes testing peptidomimetic therapeutics in HLA-DR-transgenic mouse models for autoimmune disease, not a transgenerational study of exposures or inherited exposure-induced effects."
13543,"NO — This is a drug development/clinical study of antiandrogens for prostate cancer and mouse tumor models, not a transgenerational study of exposures affecting subsequent generations."
13544,NO — This is a clinical pilot study of a minimally invasive extracorporeal circuit in patients and contains no transgenerational study design or examination of exposures across generations.
13545,"NO — This is a chemistry/biophysics study about molecular motors and structural modifications affecting rotation speed, with no indication of a transgenerational study design or exposures in humans/animals."
13546,"NO — This is a methods paper about creating and visually identifying transgenic mice across generations, not a transgenerational exposure study of health effects (no exposure–outcome across generations reported)."
13547,"NO — This reports familial inheritance of a chromosomal translocation and resulting phenotypes across generations, not a transgenerational exposure study and it does not assess any environmental or other exposure/stressor."
13548,"NO — Study uses the unicellular eukaryote Dictyostelium discoideum (not a human or animal whole organism), so it does not meet the inclusion criterion despite assessing effects across spore/germination generations."
13549,NO — This is an orthopedic study of radiographic outcomes for titanium-alloy hip prostheses in patients (2–6 year follow-up) and does not involve any transgenerational study design or exposures affecting subsequent generations.
13550,NO — This is an acute in vivo imaging study of ultrasound contrast agent doses in rabbits and does not involve a transgenerational study design or assessment of effects across generations.
13551,"NO — This is a molecular review of DNA demethylation mechanisms (Gadd45, repair enzymes) and does not describe a transgenerational study design or empirical transgenerational exposure research."
13552,"NO — This study investigates fungal contamination and disease transmission in potato seed generations (a plant/agricultural system), not transgenerational health effects in humans or animals."
13553,NO — This is a clinical meta-analysis of second-generation antipsychotics and extrapyramidal side effects in treated patients and does not involve a transgenerational study design or intergenerational exposure/outcome assessment.
13554,"NO — This is a familial cytogenetic inheritance report of a chromosome 16 polymorphism (16qh-) and IVF outcomes, not a transgenerational exposure study and contains no exposure/stressor investigated across generations."
13555,"NO — This describes a genetic, multigenerational familial case of benign hereditary chorea without any exposure or transgenerational exposure study design, so it does not meet the inclusion criteria."
13556,NO — This is a clinical review of antipsychotic drug efficacy and adverse effects (CATIE) with no transgenerational study design or examination of exposures causing health effects in subsequent generations.
13557,"NO — The record discusses development of human monoclonal IgM antibodies for cancer therapy and contains no transgenerational study design, exposure, or intergenerational health effects."
13558,"NO — This reports a clinical treatment trial of neridronate in multiple myeloma patients assessing bone density and safety, not a transgenerational study and with no assessment of exposures or effects across generations."
13559,"NO — This is an atomistic molecular dynamics study of carbon-based dendrimer conformations and does not involve biological organisms, exposures, or any transgenerational study design."
13560,"NO

This is an antimicrobial surveillance study of Salmonella isolates from human cases and does not involve a transgenerational study design or examine exposures causing health effects in subsequent generations."
13561,"NO — This is a familial genetic linkage study of Ménière's disease across generations without any reported exposure/stressor or transgenerational exposure design (focuses on inheritance, not environmentally induced transgenerational effects)."
13562,"NO — This is an ethical/opinion piece about genetic engineering and its implications, not a transgenerational research study reporting exposures and outcomes across generations."
13563,"YES — Animal study in which parent rats were exposed to fluoride-arsenic and oxidative outcomes were measured in their offspring across a two-generation (one-nest reproductive) design, indicating a transgenerational study."
13564,"NO — This is a clinical review of the antipsychotic zotepine focusing on efficacy and adverse reactions in patients, with no indication of a transgenerational study design or assessment of exposure effects across generations."
13565,NO — This is a multigenerational social/behavioral study of caregiving planning across family generations and does not examine exposures or transgenerational biological health effects.
13566,NO — This is a genetic linkage/pedigree study of hereditary transmission of manic-depressive illness (X‑linkage) and does not examine transgenerational effects of exposures.
13567,"YES — The record describes a multi-generation experiment with hens testing dietary exposure to ""fermosin"" torula yeast across groups, indicating a transgenerational study design, though the summary focuses on laying-period performance and details of generational outcomes are unclear."
13568,NO — This is a clinical review of pegfilgrastim use with chemotherapy and does not describe a transgenerational study design or exposures affecting subsequent generations.
13569,NO — This is a pedigree/genetic inheritance report of autosomal recessive congenital diaphragmatic hernia across generations with no exposure or transgenerational exposure study design described.
13570,NO — This is an observational study of valuation of life in older adults and does not involve a transgenerational study design or intergenerational exposures.
13571,"NO — This is a review on antiepileptic drug development and clinical trial methodology, with no transgenerational study design or investigation of exposure effects across generations."
13572,"NO — This study reports genetic selection and F2 correlations of ethanol responses in mice (inheritance/pleiotropy), not a transgenerational exposure design measuring effects transmitted across generations."
13573,NO — This is a qualitative study of breastfeeding decisions among low‑income Latina mothers/families and does not use a transgenerational study design nor assess inheritance of exposure-related health outcomes.
13574,NO — This is a cross-sectional seroprevalence study of HCV among blood donors and does not use a transgenerational study design or examine exposure effects on subsequent generations.
13575,YES — the paper reports that parental exposure to short-day photoperiods during preimaginal development induces embryonic diapause and shifts oviposition behavior in offspring (a maternal/transgenerational environmental effect) in Aedes mariae.
13576,"YES — The study uses a 2-generation Drosophila assay (parents exposed to test compounds and the F2 generation scored for phenotypes), i.e., a transgenerational whole-organism design demonstrating heritable effects of exposures."
13577,NO — This is an in vivo pharmacology/toxicology study of platinum compounds' antitumor efficacy and nephrotoxicity in treated mice and does not involve a transgenerational design or assessment of effects in offspring.
13578,NO — This is a clinical case series of primary HIV infection reporting symptoms and serologic findings in individual patients and does not use a transgenerational study design or examine exposures affecting subsequent generations.
13579,NO — This is an in vivo/materials study of fluoride release from glass ionomer dental restorations in bovine teeth and does not involve a transgenerational study design or inheritance of exposures.
13580,NO — This paper describes development and performance testing of an ELISA for HCV antibodies (a diagnostic assay) and does not involve a transgenerational study design or exposure-related outcomes across generations.
13581,"YES — This is a human second-generation follow-up that examines how mothers' own birth status (SGA/preterm) relates to pregnancy and birth outcomes in their children, i.e., a transgenerational study design."
13582,NO — This is a molecular/DFT study of Pt-drug interactions with DNA bases and contains no transgenerational study design or investigation of exposures affecting subsequent generations.
13583,NO — This is a clinical review of cross-resistance between aromatase inhibitors in breast cancer and does not describe a transgenerational study design or exposures affecting subsequent generations.
13584,"NO — This is a familial/genetic report of infantile myofibromatosis describing inheritance patterns across family members, with no exposure or transgenerational exposure study design, so it does not meet the inclusion criteria."
13585,NO — This is a personal/psychoanalytic account of intergenerational trauma (an autoethnographic/case reflection) and does not report a transgenerational research study design examining exposures and outcomes across generations.
13586,"NO — This is a familial case series of autosomal dominant Huntington's disease describing genetic inheritance across generations, not a transgenerational study of exposure-induced health effects."
13587,"NO — This is a demographic study of socioeconomic/educational persistence across immigrant generations, not a transgenerational biological study of exposures or health outcomes and it does not report exposure-driven transgenerational research."
13588,"YES — reports a two-generation (multigenerational/transgenerational) rat study of EGCG exposure assessing reproductive outcomes and offspring (including second-generation) growth effects, so it uses a transgenerational study design."
13589,"NO — This is a policy essay on welfare and health policy (discussing intergenerational resource distribution), not an empirical transgenerational study of exposures in humans or animals."
13590,NO — This record describes clinical treatment and outcomes for pediatric Philadelphia chromosome-positive ALL and does not report a transgenerational study design or exposure-related effects across generations.
13591,NO — This is a diagnostic accuracy systematic review of TSH receptor antibody immunoassays in Graves' disease and does not describe a transgenerational study design or exposure leading to effects in subsequent generations.
13592,"NO — This is a genetic linkage study of Tourette syndrome using affected sib pairs focused on disease inheritance, not a transgenerational study of exposures or exposure-related outcomes."
13593,"NO — This is an in vitro bacterial study of spontaneous antibiotic resistance in Enterobacter spp., not a transgenerational study in animals or humans and it does not assess exposure effects across generations."
13594,"NO — This is a molecular/biochemistry study evolving peptides to target Galpha_s and does not involve a transgenerational study design, exposures, or intergenerational health outcomes."
13595,"NO — This is a qualitative study of nursing home staff–family relationships and does not involve a transgenerational study design, exposures, or intergenerational health outcomes."
13596,NO — This is an in vitro study of reactive oxygen species in human sperm acrosome reaction and does not report a transgenerational study design or exposure effects across generations.
13597,NO — The record reviews antipsychotic-induced hyperprolactinemia and its clinical consequences in treated patients and does not report a transgenerational study design or outcomes in subsequent generations.
13598,NO — This is a pharmacologic/clinical review of nebivolol in hypertension and heart failure with no indication of a transgenerational or multigenerational exposure study design.
13599,"NO — This is a clinical/review paper on neuroblastoma diagnosis, prognostic markers, and therapies with no indication of a transgenerational study design or exposure-related inheritance."
13600,NO — This is a cross-sectional prevalence study of HCV RNA/antibodies in blood donors and does not describe a transgenerational study design or exposure effects across generations.
13601,"NO — This is an observational study relating children's hemodynamic responses to family history of myocardial infarction (grandparents' history) and demographic factors, not a transgenerational study of ancestral exposures or multi-generation exposure effects."
13602,NO — This is a hospital infection transmission study of vancomycin-resistant enterococci among roommates and does not use a transgenerational design or examine intergenerational inheritance of exposure effects.
13603,"NO — This is a biochemical/methods paper describing artificial restriction DNA cutters and site-selective DNA scission in vitro and in bacteria, not a transgenerational study of exposures or heritable health effects."
13604,"NO — This is a historical/advocacy article about physicians' social roles, not a transgenerational study and it contains no research on exposures across generations."
13605,"NO — This paper describes evaluation of a diagnostic immunoblot assay for hepatitis C and PCR detection, not a transgenerational study or research on exposure effects across generations."
13606,NO — This is a retrospective study of blood transfusion recipients detecting HCV infection and does not use a transgenerational design or assess effects in subsequent generations.
13607,"NO — This is a polymer synthesis and characterization study of dendronized hydroxypropyl cellulose, not a transgenerational exposure study nor related to inheritance of health effects."
13608,YES — Population-based cohort linking mothers' own birth weight and adult BMI to birth weight of their offspring (an intergenerational/transgenerational study design).
13609,"NO — This is an education/curriculum paper using the term ""transgenerational"" metaphorically for teaching strategies and not a biological transgenerational study of exposures or health outcomes."
13610,NO — This is a familial/genetic association study reporting cancer incidence across relatives (vertical vs horizontal relationships) and does not examine transgenerational effects of an exposure or use a transgenerational exposure–outcome study design.
13611,"YES — Pregnant dams (F0) were dosed and outcomes were examined in their offspring (F1) and in the F1's resulting progeny (F2), indicating a multigenerational/transgenerational study design."
13612,NO — This study assesses pathogenicity and immune responses to rabies-virus–based vaccine vectors in mice and does not involve a transgenerational study design or investigation of exposure effects across generations.
13613,NO — This is a pharmacology/microbiology summary of glycylcycline antibiotics and microbial resistance with no transgenerational study design or assessment of exposure effects across generations.
13614,NO — This study reports serological prevalence of hepatitis C in haemophiliacs and IV drug users and does not employ a transgenerational study design or examine intergenerational effects.
13615,"NO — This is a cross-sectional study of refractive errors in indigenous and local Brazilian populations (using ancestry criteria), not a transgenerational exposure study and it does not assess health effects transmitted across generations."
13616,"NO — This is an epidemiologic analysis of endometrial cancer incidence trends and age–period–cohort effects across birth cohorts, not a transgenerational study of exposures causing health outcomes in subsequent generations."
13617,"NO — This is a case report of a parasitic infection in a calf and farm control measures, not a transgenerational study of exposures or their health effects in subsequent generations."
13618,"NO — This is a clinical study of lithotripsy treatment outcomes for ureteral stones and does not report a transgenerational study design, exposures affecting subsequent generations, or inheritance-related research."
13619,NO — This is a familial/genetic segregation study of disc degeneration (parent–offspring disease transmission) and does not investigate transgenerational effects of an exposure (no exposure across generations tested).
13620,NO — This is a review of hepatitis B vaccine antigens and peptide analogues with no description of a transgenerational study design or intergenerational exposure/outcome assessment.
13621,NO — This is a genetic family study identifying an inherited EMD mutation causing X-linked atrial fibrillation and does not investigate transgenerational effects of an exposure.
13622,"NO — This is a demographic study of intergenerational population replacement and migration, not a biological transgenerational exposure study and does not report exposures or transgenerational health outcomes."
13623,"NO — This is a theoretical/clinical discussion about family crises and medical/systemic responses, not a transgenerational research study and it does not report exposures causing health outcomes in subsequent generations."
13624,NO — This is a prospective clinical treatment study of antipsychotic effects in high-risk individuals and does not involve a transgenerational study design or assessment of outcomes in subsequent generations.
13625,NO — This is an individual-level case-control study of activated protein C resistance and venous thrombosis risk (including OC use) in humans and does not involve a transgenerational study design or assessment of exposure effects passed to subsequent generations.
13626,"YES — Animal study where embryonic exposure to the endocrine disruptor vinclozolin altered sperm DNA methylation and induced epigenetic changes and disease phenotypes transmitted into F2 and F3 generations, indicating a transgenerational study design."
13627,NO — This is a descriptive study of consanguineous marriage prevalence across three generations and does not evaluate a transgenerational exposure leading to health outcomes (no transgenerational exposure–outcome study design).
13628,NO — This is a clinical review/trial of bazedoxifene for postmenopausal osteoporosis and does not report a transgenerational or multigenerational exposure study design.
13629,"NO — This is a simulation study of mating and selection schemes in tree breeding (genetic gain and inbreeding), not a transgenerational exposure study nor an investigation of exposure-induced health outcomes across generations."
13630,"NO — This is a plant genetic mapping study (barley F2/F2:3) identifying an inherited resistance gene (Rpc1), not a transgenerational exposure study in humans/animals nor an investigation of exposure-induced health effects across generations."
13631,NO — This record simply asks about the safety/risks of third‑generation oral contraceptives and contains no indication of a transgenerational study design or research on exposures affecting subsequent generations.
13632,"NO — This is a genetic linkage study using inbred mouse crosses (F1/F2) to map loci for ventilatory responses to hypoxia/hypercapnia, not a transgenerational exposure design assessing inherited effects of parental exposures."
13633,"NO — This is an engineering/bioprocessing study on bioethanol production using Zymomonas mobilis (SSF optimization) and does not involve any transgenerational study design, exposures, or health outcomes in humans or animals."
13634,"NO — This is a familial autosomal‑dominant inheritance case report across generations with no exposure or transgenerational exposure study design, so it does not address exposure‑induced transgenerational effects."
13635,"NO — This is a speculative/theoretical commentary about familial psychopathology and inherited ""memories"" without presenting a transgenerational study design or any exposure-driven transgenerational research."
13636,"NO — This is a nursing/workplace article about generational cohorts and team building in the emergency department, not a transgenerational biological study of exposures or inherited health outcomes."
13637,"NO — This is a clinical diagnostic trial of fluorescence/reflectance spectroscopy for detecting cervical neoplasia and device variability, not a transgenerational exposure study and it does not assess health effects across generations."
13638,NO — This is a descriptive commentary about social impacts of the AIDS epidemic on orphans and does not report a transgenerational study design or research examining biological/experimental transgenerational effects.
13639,NO — This is a randomized clinical trial comparing perioperative antibiotics in adult open-heart surgery patients and does not involve a transgenerational study design or intergenerational exposures/outcomes.
13640,NO — This is a single-patient case report of electromagnetic interference causing an ICD discharge and does not involve a transgenerational study design or exposure effects across generations.
13641,"YES — The study reports psychiatric outcomes in immigrants and their offspring (second-generation) comparing health across generations after migration (an exposure), so it may represent a transgenerational design (though not explicitly framed as such)."
13642,NO — This study evaluates CT scanner image quality and patient dose and does not describe a transgenerational study design or intergenerational health effects of exposures.
13643,"NO — This is a methods paper describing an Illumina strand-specific transcriptome sequencing technique (FRT-seq) and does not report any transgenerational study design, exposures, or multigenerational health outcomes."
13644,"NO — This is a prospective cohort of pregnant women assessing congenital outcomes in fetuses directly exposed in utero to loratadine, not a transgenerational study examining effects in subsequent unexposed generations."
13645,"NO — This is an enzymology/microbiology study detailing how a Gly-238-Ser substitution alters SHV beta-lactamase substrate specificity and antibiotic hydrolysis, not a transgenerational exposure study or research on inherited health outcomes."
13646,"YES — This is a transgenerational animal study comparing endocrine and growth outcomes in third- and fourth-generation transgenic rabbits (mWAP-hFVIII) versus non-transgenic siblings, demonstrating effects of transgenesis across generations."
13647,"NO — This is a plant genetic mapping study of inheritance of a nitrate reductase gene in barley, not a transgenerational exposure study nor an examination of exposure-driven health effects across generations."
13648,"NO — This is an opinion/practice-oriented piece about obesity and maternal impacts, not a report of original transgenerational research or a study with a transgenerational design."
13649,"NO — This paper reports ER activation and selection during serial xenograft passages of a breast cancer cell line (MCF10AT), not a transgenerational exposure study or investigation of exposure-induced effects inherited across generations."
13650,"NO — This study examines genetic susceptibility to DES-induced pituitary tumors across rat strains and crosses (a genetic inheritance model), not transgenerational transmission of exposure effects across generations."
13651,NO — This is a clinical registry study of endovascular repair outcomes for abdominal aortic aneurysm and does not involve any transgenerational study design or exposures/health effects across generations.
13652,NO — This article describes nanoparticle-based brain drug/contrast delivery for Alzheimer's diagnosis and therapy and contains no transgenerational study design or investigation of exposure effects across generations.
13653,"NO — This is a clinical/drug-development update on anti-HIV therapies summarizing recent studies, with no indication of a transgenerational study design or intergenerational exposure effects."
13654,YES — This is an animal transgenerational study assessing cardiovascular and renal outcomes in F2 offspring of dams fed a high‑lard diet to determine transmission of F1 effects.
13655,NO — This paper describes the lifecycle of the parasite Eimeria danailovi in experimentally infected ducks and does not involve a transgenerational study design or assessment of exposure effects across generations.
13656,NO — This is a clinical/treatment report about eltrombopag for chronic lymphocytic leukemia–associated immune thrombocytopenia and does not describe a transgenerational exposure study.
13657,"NO — This is an award/profile announcement and contains no research data, exposures, or any indication of a transgenerational study design."
13658,"NO — This is a sociological study of school enrollment across immigrant generations (education outcomes), not a transgenerational exposure study of health effects in humans or animals."
13659,"YES — the experimental study shows parental priming (BABA or avirulent Pseudomonas) in Arabidopsis produces inherited enhanced defense responses in the next generation, i.e., a transgenerational study design."
13660,"NO — This is an ethnobotanical survey about use and cultural transmission of medicinal herbs (knowledge passed from grandparents to children), not a transgenerational study of exposures causing health effects in subsequent generations."
13661,NO — This is a clinical review of antipsychotic efficacy in schizophrenia (single-generation treatment trials) with no transgenerational study design or examination of exposures affecting subsequent generations.
13662,"NO — This is a genetic/QTL study of drought-response variation in a Populus F2 mapping population and grandparents, not an exposure-induced transgenerational design examining effects transmitted to unexposed descendant generations."
13663,"YES — This animal study compares outcomes across sand fly generations (F2–F5) and reports a transgenerational shift (at F4) in saliva-mediated protection against Leishmania, indicating a transgenerational study design."
13664,"NO — This is a genetic association study in multigenerational schizophrenia families focused on inherited variants and cognition, not a transgenerational study of exposure-induced effects or stressors."
13665,NO — This is a clinical study of weight gain in first-episode psychosis patients after antipsychotic treatment over one year and does not use a transgenerational study design or assess effects across generations.
13666,"NO — This is a breeding/genotype performance study reporting reproductive outcomes across pure and crossbred goat generations, not a transgenerational study of effects caused by an exposure or stressor."
13667,"YES — The study uses chicken lines that were selected over five generations for resistance (AR) versus controls, a transgenerational selection design, and reports responses to aflatoxin exposure in offspring."
13668,"NO — This is a clinical review on antiarrhythmic drug selection and management, not a transgenerational study and contains no exposure-related research on effects across generations."
13669,NO — This is a clinical/epidemiological review of pediatric bacterial meningitis management and vaccine/antibiotic issues and contains no transgenerational study design or data on exposures affecting subsequent generations.
13670,NO — this study measures genetic variation and vector competence in lab-reared F2 mosquitoes but does not investigate effects of parental/ancestral exposures transmitted across generations (no transgenerational exposure design).
13671,"NO

This paper evaluates reproducibility between generations of microarray technology (chip versions), not biological transgenerational effects of exposures, so it does not meet the transgenerational study design criterion."
13672,"NO — This is a randomized clinical trial comparing coronary stent types and reports patient angiographic/clinical outcomes, with no transgenerational study design or intergenerational exposure assessment."
13673,"NO — This is a review on antisense gene-silencing approaches in bacteria and drug development, not a transgenerational study nor does it examine exposure-induced effects passed between generations."
13674,"NO — This is an observational social/occupational mobility study of adults disabled by childhood poliomyelitis and their family backgrounds, not a transgenerational exposure study assessing effects across subsequent generations."
13675,"NO — This is a general drug overview of imatinib (mechanism, clinical use, side effects, resistance) and contains no description of a transgenerational study design or multigenerational exposure outcomes."
13676,NO — This is an acute cochlear mechanics study in guinea pigs examining local acoustic trauma effects on otoacoustic emissions and does not involve any transgenerational study design or cross‑generation outcomes.
13677,"NO — This is a clinical review of HCV infection, transmission, and renal disease in patients and transplant recipients, not a transgenerational study examining exposure effects across generations."
13678,NO — This is a pharmacokinetic bioavailability crossover study of intranasal azelastine and fluticasone in healthy adults and does not use a transgenerational design or assess effects across generations.
13679,NO — This is a single-case clinical report of ESBL peritonitis in a child and does not describe a transgenerational study design or exposure-induced effects across generations.
13680,"NO — This study examines brain structure in children of parents with bipolar disorder as familial/genetic risk (inheritance), not a transgenerational exposure study and does not report an exposure/stressor transmitted across generations."
13681,"NO — This is an acute physiological study of oxygen-induced vasodilation in fetal rat pulmonary arterioles (branch order ""third-generation""), not a transgenerational study of exposure effects across generations."
13682,"NO — This is a molecular yeast protein–protein interaction mapping study and does not involve any transgenerational study design, exposures, or inheritance of exposure effects in humans or whole organisms."
13683,"NO — This is a computational chemical/atmospheric kinetics study of radical decomposition of a hydrofluoroether, not a transgenerational biological study of exposures or inherited health outcomes."
13684,NO — This is a gene-therapy study of HSV-mediated dystrophin delivery in mdx mice focusing on treated individuals' muscle expression and not on transgenerational or germline transmission of exposure effects.
13685,NO — This is a clinical randomized contralateral-eye study comparing LASIK vs PRK outcomes within the same patients and does not involve any transgenerational design or exposure across generations.
13686,"YES — the report cites a multigeneration feeding study in CD rats (a multigenerational/transgenerational study design assessing reproductive outcomes after exposure), so it meets the inclusion criteria."
13687,NO — This is a clinical trial of aprotinin's hemostatic effects in pediatric cardiac surgery patients and does not involve a transgenerational study design or outcomes in subsequent generations.
13688,"NO — This is an acute physiological study of contrast echocardiography in anesthetized pigs examining myocardial contractility effects of drugs, with no transgenerational study design or assessment of effects across generations."
13689,"NO — This study examines drug-induced selection of metastatic tumor cell clones and heritable changes within cell lines (cellular passages), not transgenerational effects across organismal generations or offspring."
13690,NO — This is a pharmacological/clinical review of the antihistamine ebastine and does not report any transgenerational study design or exposure effects across generations.
13691,"NO — This is an instrumentation/analytical chemistry paper describing a portable gas chromatograph and detector performance, not a transgenerational study of exposures or health outcomes in humans or animals."
13692,NO — This article addresses diagnosis and treatment of pediatric bacterial meningitis and does not report a transgenerational study design or exposures leading to health outcomes in subsequent generations.
13693,"NO — This is a genetic hybridization study in nematodes documenting inheritance of a sequence tag and parasitism trait, not a transgenerational exposure study linking exposures to health outcomes."
13694,"NO — This is an in vitro study of Pluronic‑modified PPI dendrimers for gene delivery (cell transfection/cytotoxicity), not a transgenerational study and contains no multigenerational exposure or inheritance assessment."
13695,"NO — This is a microbiological surveillance study of antibiotic resistance in Streptococcus pneumoniae isolates, not a transgenerational study of exposures producing health effects in subsequent generations."
13696,"NO — This is a genetic selection/breeding study of a feathering gene across broiler generations focusing on inherited carcass traits, not a transgenerational exposure/stressor study."
13697,"NO — This is a clinical/practice article about elder abuse and the nurse practitioner role, not a transgenerational research study and it does not report exposures with health outcomes across generations."
13698,"NO — This is a seroepidemiological study of HCV-HIV coinfection prevalence and risk factors in patients, with no transgenerational study design or examination of exposures affecting subsequent generations."
13699,"YES — The study reports cognitive outcomes in second-generation (F2) rats raised on an n-3 (DHA)-deficient diet, indicating a transgenerational animal exposure design."
13700,"NO — This is an evolutionary genetics study on immigrant genome spread and heterosis across butterfly generations, not a transgenerational exposure study of health effects."
13701,NO — This is a review of glycopeptide antibiotic biosynthesis and drug development and does not describe a transgenerational study design or exposures with health outcomes across generations.
13702,"NO — This is a descriptive article about grandparents losing contact and guidance for health visitors, not a transgenerational research study of exposures or intergenerational health effects."
13703,NO — This article discusses ceftriaxone pharmacokinetics and therapeutic drug monitoring in clinical populations and contains no indication of a transgenerational study design or intergenerational exposure effects.
13704,"NO — This is a conceptual/policy paper on deliberative environmental assessment and stakeholder representation in dryland management, not a transgenerational biological study of exposures or inheritance."
13705,NO — This is a clinical case report of perianeurysm edema following coil embolization and does not involve any transgenerational study design or intergenerational exposure or inheritance analysis.
13706,"NO — This is an in vitro virology/drug-resistance study of HIV-1 reverse transcriptase inhibitors and viral mutations in cell culture, not a transgenerational study of exposures and health outcomes across organismal generations."
13707,"NO — This is a diagnostic evaluation of HIV testing methods in men who have sex with men, with no transgenerational study design or assessment of exposures producing health effects in subsequent generations."
13708,"NO — This study is on yeast (a single-celled fungus), not a human or animal whole-organism, so it does not meet the inclusion criteria despite reporting effects across cell generations."
13709,"NO — This is a theoretical/historical discussion of population crises and cycles, not a transgenerational study reporting research on exposures and health outcomes across generations."
13710,NO — This is an in vivo rat study of carvedilol protection against daunorubicin cardiotoxicity in the treated animals and does not describe a transgenerational study design or effects in subsequent generations.
13711,"NO — This is a genetic inheritance study of Mendelian resistance alleles in Ipomoea from controlled crosses (segregation in S2), not a transgenerational exposure study linking an exposure/stressor to health outcomes in subsequent generations."
